createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/24/2022 18:43:11,motionshot,11,9mm,0,v0.96.6.1-3717,78.125,91,78,100,62,78,80,83,67,711.138111659459,546.306689453125,585.143908691406,735.336364746094,501.622856727013,806.766773570668,823.713144938151,886.661779785156,855.997467041016,84,96,1.25190926,75,
05/24/2022 18:42:00,motionshot,11,9mm,0,v0.96.6.1-3717,75.55556,75,62,63,86,80,76,73,100,754.597139382664,540.79044342041,577.608421325684,604.261276245117,827.079571533203,828.739116668701,868.724626020952,893.023751395089,772.194014115767,80,90,1.13504958,68,
05/24/2022 18:40:52,motionshot,11,9mm,0,v0.96.6.1-3717,74.72527,79,80,75,50,71,79,69,92,753.974381072612,711.06235555013,644.511195882161,763.787268066406,570.219082641602,849.778733995226,1058.41870117188,936.753440856934,813.71095929827,80,91,1.13505971,68,
05/24/2022 18:36:16,motionshot,11,9mm,0,v0.96.6.1-3717,81.72043,64,67,92,77,100,83,83,100,716.902517479586,628.043475341797,635.230322943793,635.119571392353,673.438007061298,860.881652832031,641.672839355469,884.068824768066,751.814707438151,84,93,1.26856554,76,
05/24/2022 18:35:09,motionshot,11,9mm,0,v0.96.6.1-3717,74.7474747,64,75,82,64,86,83,75,73,718.287435876318,732.506561279297,603.445335388184,729.371282958984,593.52387491862,940.538556780134,629.453582763672,740.591674804688,830.754516601563,84,99,1.23521352,74,
05/23/2022 17:37:31,motionshot,11,9mm,0,v0.96.6.1-3717,78.4090958,80,87,85,67,75,77,80,67,756.140098861501,790.390024038462,623.262952168783,618.487638033353,743.063239464393,935.519642223011,814.811657714844,893.948120117188,792.514228820801,80,88,1.15164518,69,
05/23/2022 17:36:23,motionshot,11,9mm,0,v0.96.6.1-3717,77.52809,89,88,60,67,92,78,64,73,782.956107691715,748.525408063616,639.096928187779,724.074513753255,605.501658121745,789.1146484375,896.677381727431,972.203735351563,929.069071451823,76,89,1.151688,69,
05/23/2022 17:35:17,motionshot,11,9mm,0,v0.96.6.1-3717,79.2682953,100,78,77,67,71,93,90,67,785.747346191406,888.470011393229,512.628887939453,809.341845194499,616.912872314453,856.826198032924,792.27402750651,946.207845052083,879.38452911377,76,82,1.08489406,65,
05/23/2022 17:34:12,motionshot,11,9mm,0,v0.96.6.1-3717,76.3440857,71,75,77,89,64,73,89,78,748.41975653926,656.292985182542,619.629948542668,622.490581165661,770.09915500217,861.381803072416,902.571594238281,825.687316894531,879.823547363281,80,93,1.1850276,71,
05/23/2022 17:33:07,motionshot,11,9mm,0,v0.96.6.1-3717,78.35052,82,81,83,80,100,64,91,54,712.066551753453,686.431888834635,583.054002761841,548.626415676541,667.937362670898,776.469458946815,904.437325613839,855.679239908854,834.787164306641,84,97,1.26860964,76,
05/22/2022 19:35:33,motionshot,11,9mm,0,v0.96.6.1-3717,76.13636,56,79,89,100,70,64,73,85,772.958874194653,787.914474487305,642.227186723189,650.578643798828,848.511496407645,823.248751553622,827.249010358538,863.878377278646,772.042510986328,78,88,1.11820638,67,
05/22/2022 19:34:23,motionshot,11,9mm,0,v0.96.6.1-3717,80.23256,69,100,69,100,50,94,70,91,772.811450116046,601.857093811035,931.410781860352,623.866675240653,634.908388137817,969.702335611979,712.549611409505,977.938171386719,801.303871848367,78,86,1.15154,69,
05/22/2022 19:33:17,motionshot,11,9mm,0,v0.96.6.1-3717,75.55556,58,80,73,100,50,67,79,100,777.587955227146,804.764862060547,764.375450134277,658.978121439616,644.978068033854,913.315478515625,914.391092936198,811.886854383681,832.691068522135,78,90,1.13486683,68,
05/22/2022 19:32:12,motionshot,11,9mm,0,v0.96.6.1-3717,72.22222,54,44,91,89,90,73,58,80,784.95530098363,620.007774353027,823.923573811849,669.401802062988,608.326547241211,896.365215594952,919.27530343192,932.581264919705,788.907535807292,76,90,1.08487,65,
05/22/2022 19:31:07,motionshot,11,9mm,0,v0.96.6.1-3717,77.31959,77,80,100,89,78,64,69,64,717.180556331773,571.20859781901,695.095455169678,587.204971313477,727.256236485073,806.857220458984,699.693542480469,780.904968261719,934.13642467152,84,97,1.25167513,75,
05/21/2022 22:53:47,motionshot,11,9mm,0,v0.96.6.1-3717,71.84466,85,75,100,75,60,65,50,67,735.819518854589,613.815295879657,710.899646465595,666.505333900452,633.897991943359,903.174338600852,925.462170410156,1016.43524169922,946.981105259487,82,103,1.23522484,74,
05/21/2022 22:52:39,motionshot,11,9mm,0,v0.96.6.1-3717,77.17391,67,75,100,82,44,87,80,80,742.614344024658,714.675830078125,685.310560438368,648.530654907227,621.079118208452,875.239910419171,884.822428385417,914.25279889788,736.533353678385,80,92,1.1851666,71,
