createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/06/2021 13:59:09,gridshot,10,9mm,0,v0.96.6-3707,88.07947,91,91,90,86,100,56,100,83,429.811771593596,405.937493108934,429.928943888346,439.694947923933,404.801853637695,393.321350097656,663.984918212891,305.53630065918,507.518481445312,136,151,2.2194736,133,
05/06/2021 13:57:27,gridshot,10,9mm,0,v0.96.6-3707,92.2535248,96,97,95,91,100,50,71,100,439.729801323578,422.834679497613,429.492794898248,415.448535737537,442.244556427002,428.447245279948,761.318735758464,463.023040771484,466.693981933594,134,142,2.18607831,131,
05/04/2021 16:10:05,gridshot,10,9mm,0,v0.96.6-3707,87.69231,83,86,95,84,100,86,100,100,506.739356994629,516.669336779364,547.814231024848,482.751564389183,565.414037851187,401.123541259766,516.006538391113,309.545532226563,330.662594604492,117,130,1.90256155,114,
05/04/2021 16:06:58,gridshot,10,9mm,0,v0.96.6-3707,87.60331,97,91,88,81,100,75,100,50,545.595362969165,482.12788772583,555.932607014974,512.615575881231,634.348514404297,408.736572265625,519.43994140625,398.099273681641,1023.39202880859,109,121,1.76867962,106,
