createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
07/08/2021 18:35:42,spidershot180,0,Shadow,0,v0.96.6.1-3717,81.53846,83,100,100,67,75,56,75,94,1051.82008579799,699.585266113281,868.932342529297,1081.0548324585,1233.54772949219,713.643402099609,1120.10784912109,1063.2575899012,0,28,65,0.884439766,53,
05/06/2021 13:56:01,spidershot180,10,9mm,0,v0.96.6.1-3717,74.5454559,71,83,100,100,69,67,75,70,1222.57630793254,1344.05737304688,1537.30052185059,1348.47747802734,857.606811523438,1010.65222167969,1110.62221272786,1282.35684640067,932.374145507813,24,55,0.6842659,41,
05/04/2021 16:24:12,spidershot180,10,9mm,0,v0.96.6.1-3717,78.57143,75,83,100,100,82,56,83,75,1269.57485247673,718.685668945313,1686.55810546875,1065.14918518066,742.656372070313,1015.03590393066,1360.27450561523,1418.54054042271,871.479827880859,24,56,0.7343103,44,
05/04/2021 16:05:22,spidershot180,10,9mm,0,v0.96.6.1-3717,81.8181839,100,100,75,100,70,71,75,90,1399.32785615467,1124.90539550781,905.693237304688,1420.22637939453,999.832641601563,1048.49081420898,1588.66702090993,1389.64259847005,763.192993164063,21,44,0.6006991,36,
