createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
05/21/2022 22:57:09,spidershot,12,9mm,0,v0.96.6-3707,82.4324341,82,78,81,100,68,82,78,90,439.497126943925,427.016249656677,351.81576177809,420.789511786567,378.455882352941,479.638553873698,513.331029256185,534.701539611817,427.506144714355,136,148,2.036395,122,
05/21/2022 22:56:04,spidershot,12,9mm,0,v0.96.6-3707,78.08219,94,88,60,88,88,71,58,82,448.807974793857,385.022597418891,440.227036420037,458.69642829895,410.957589043511,434.383088853624,476.466960362026,556.442077636719,458.955149332682,134,146,1.90271831,114,
05/21/2022 22:54:59,spidershot,12,9mm,0,v0.96.6-3707,75,83,79,100,71,78,74,63,60,469.064277949296,423.982436236213,388.551784939236,446.483322143555,444.903816731771,481.130766027114,561.836753845215,450.229569498698,566.868335924651,128,152,1.90285492,114,
05/20/2022 18:42:24,spidershot,12,9mm,0,v0.96.6-3707,83.55263,72,84,90,100,81,75,82,83,420.184558062486,406.115001477693,421.896904440487,389.617725573088,391.835250127883,433.948764576632,481.099723307292,442.047845458984,416.955540707237,142,152,2.11949849,127,
05/20/2022 18:41:12,spidershot,12,9mm,0,v0.96.6-3707,84.35374,94,95,83,89,83,81,75,72,429.62277046039,368.641977410567,400.203569200304,404.403350830078,407.454815092541,445.864756266276,477.128965250651,534.953465388371,445.787084579468,140,147,2.06972075,124,
05/20/2022 18:40:05,spidershot,12,9mm,0,v0.96.6-3707,76.6233749,65,81,88,89,83,65,74,70,451.849133809407,430.228395160876,491.60691179548,400.167606608073,416.193609619141,460.066768391927,454.698603012983,500.530757904053,476.343324661255,132,154,1.9696244,118,
05/20/2022 18:39:00,spidershot,12,9mm,0,v0.96.6-3707,78.84615,82,95,79,81,76,72,75,71,439.237473656149,378.991078694661,396.616525750411,430.69554574149,416.891929224918,538.474042107077,495.108975497159,463.379145304362,432.353142233456,136,156,2.052893,123,
05/20/2022 18:37:53,spidershot,12,9mm,0,v0.96.6-3707,80,88,89,83,75,81,78,71,75,431.50304667155,386.861329920152,388.966759932669,434.806832207574,413.93244934082,451.016065809462,476.596200125558,458.142787679036,459.556448543773,138,155,2.06975269,124,
05/19/2022 17:00:34,spidershot,12,9mm,0,v0.96.6-3707,80.89172,89,73,89,82,74,76,85,81,432.499712847281,384.025414717825,412.214331732856,425.904434204102,379.794077555339,491.688079833984,453.235262189593,425.754369399127,497.229746500651,138,157,2.11973023,127,
05/19/2022 16:57:46,spidershot,12,9mm,0,v0.96.6-3707,81.04575,83,81,80,76,88,76,88,77,445.111744439424,385.617006574358,422.398207444411,409.74616156684,442.378248426649,475.05181563528,498.804767608643,459.201194763184,453.141984558105,134,153,2.069674,124,
05/19/2022 16:56:39,spidershot,12,9mm,0,v0.96.6-3707,78,75,79,76,94,88,82,70,65,461.588374766268,411.01714766653,403.186525846783,471.674911499023,380.966355267693,503.068133544922,454.804751309482,539.980758666992,552.399946424696,130,150,1.95284009,117,
05/19/2022 16:55:33,spidershot,12,9mm,0,v0.96.6-3707,79.73856,67,90,84,72,95,82,67,80,433.936015695765,425.205298287528,372.864638434516,407.906028747559,405.384428136489,410.235791374655,452.080816268921,542.997111729213,474.473820736534,138,153,2.03634238,122,
05/18/2022 17:38:18,spidershot,12,9mm,0,v0.96.6-3707,77.12418,85,79,82,84,59,88,72,70,448.379307024407,413.023592631022,404.220989227295,404.5895652771,406.645236366674,499.118243049173,559.061575753348,424.447544642857,490.570982191298,132,153,1.969622,118,
05/18/2022 17:37:07,spidershot,12,9mm,0,v0.96.6-3707,86.18421,89,100,100,94,75,67,83,86,423.599095554217,353.260376739502,386.422011431526,363.242587089539,358.384227551912,481.025390625,576.486260986328,427.659143784467,468.848901367188,142,152,2.186399,131,
05/18/2022 17:36:01,spidershot,12,9mm,0,v0.96.6-3707,76.82119,87,78,70,72,75,71,88,76,462.965381001317,381.706188804225,392.076071602958,437.699196370443,365.933797200521,499.015554989086,615.145251934345,476.248718261719,541.321222686768,130,151,1.93615258,116,
05/18/2022 17:34:53,spidershot,12,9mm,0,v0.96.6-3707,85.43046,94,79,76,79,89,88,86,90,420.544386151811,382.174716186523,417.252943929037,413.170862674713,387.160852768842,424.660887065687,459.661487285907,428.344229305492,451.861518554688,142,151,2.15308738,129,
05/18/2022 17:33:46,spidershot,12,9mm,0,v0.96.6-3707,81.13208,100,85,80,84,70,74,80,80,429.176675810231,337.297331960578,401.72961730957,438.377228680779,404.351948457606,493.62348514133,467.46659749349,430.37622273763,474.058624267578,140,159,2.15315032,129,
05/18/2022 02:47:10,spidershot,12,9mm,0,v0.96.6-3707,83.33333,88,89,89,95,86,65,85,73,422.91130661119,395.255776299371,367.687059402466,407.047692871094,381.554697672526,417.199208577474,514.029697672526,461.761295572917,451.309916178385,142,156,2.1695857,130,
05/18/2022 02:46:01,spidershot,12,9mm,0,v0.96.6-3707,78.980896,83,74,79,68,78,89,76,84,426.922527640206,430.617394187234,391.383653640747,427.368009679458,411.123438054865,409.744713278378,487.115719065947,405.291377140926,450.502855300903,140,157,2.069496,124,
05/18/2022 02:44:42,spidershot,12,9mm,0,v0.96.6-3707,80.50314,83,73,81,90,84,71,81,78,424.322333690098,400.45380783081,375.662064496209,419.898911420037,355.155911984651,456.268405311986,468.739925130208,453.368535995483,491.214592428768,140,159,2.13643074,128,
05/18/2022 02:43:29,spidershot,12,9mm,0,v0.96.6-3707,81.69935,95,79,90,87,65,88,61,91,423.093585291653,363.906954678622,416.889619715074,378.967561721802,388.172813415527,479.056268692017,464.1014451247,502.179361343384,428.718707856678,142,153,2.08631587,125,
05/18/2022 02:42:07,spidershot,12,9mm,0,v0.96.6-3707,86.75497,94,95,85,88,77,88,78,89,426.383369009835,383.419228001645,365.84055074056,407.121976852417,406.378843519423,471.625170026507,467.570351736886,453.518042428153,459.771975708008,140,151,2.18652058,131,
